DISTRICT,CNTYNAME,COUNTY,DFLCHART,DISTNAME,REGION
001902,ANDERSON,001,N,CAYUGA ISD,07
001903,ANDERSON,001,N,ELKHART ISD,07
001904,ANDERSON,001,N,FRANKSTON ISD,07
001906,ANDERSON,001,N,NECHES ISD,07
001907,ANDERSON,001,N,PALESTINE ISD,07
001908,ANDERSON,001,N,WESTWOOD ISD,07
001909,ANDERSON,001,N,SLOCUM ISD,07
002901,ANDREWS,002,N,ANDREWS ISD,18
003801,ANGELINA,003,Y,PINEYWOODS COMMUNITY ACADEMY,07
003902,ANGELINA,003,N,HUDSON ISD,07
003903,ANGELINA,003,N,LUFKIN ISD,07
003904,ANGELINA,003,N,HUNTINGTON ISD,07
003905,ANGELINA,003,N,DIBOLL ISD,07
003906,ANGELINA,003,N,ZAVALLA ISD,07
003907,ANGELINA,003,N,CENTRAL ISD,07
004901,ARANSAS,004,N,ARANSAS COUNTY ISD,02
005901,ARCHER,005,N,ARCHER CITY ISD,09
005902,ARCHER,005,N,HOLLIDAY ISD,09
005904,ARCHER,005,N,WINDTHORST ISD,09
006902,ARMSTRONG,006,N,CLAUDE ISD,16
007901,ATASCOSA,007,N,CHARLOTTE ISD,20
007902,ATASCOSA,007,N,JOURDANTON ISD,20
007904,ATASCOSA,007,N,LYTLE ISD,20
007905,ATASCOSA,007,N,PLEASANTON ISD,20
007906,ATASCOSA,007,N,POTEET ISD,20
008901,AUSTIN,008,N,BELLVILLE ISD,06
008902,AUSTIN,008,N,SEALY ISD,06
008903,AUSTIN,008,N,BRAZOS ISD,06
009901,BAILEY,009,N,MULESHOE ISD,17
010901,BANDERA,010,N,MEDINA ISD,20
010902,BANDERA,010,N,BANDERA ISD,20
011901,BASTROP,011,N,BASTROP ISD,13
011902,BASTROP,011,N,ELGIN ISD,13
011904,BASTROP,011,N,SMITHVILLE ISD,13
011905,BASTROP,011,N,MCDADE ISD,13
012901,BAYLOR,012,N,SEYMOUR ISD,09
013801,BEE,013,Y,ST MARY'S ACADEMY CHARTER SCHOOL,02
013901,BEE,013,N,BEEVILLE ISD,02
013902,BEE,013,N,PAWNEE ISD,02
013903,BEE,013,N,PETTUS ISD,02
013905,BEE,013,N,SKIDMORE-TYNAN ISD,02
014801,BELL,014,Y,RICHARD MILBURN ALTER HIGH SCHOOL,20
014803,BELL,014,Y,PRIORITY CHARTER SCHOOLS,12
014804,BELL,014,Y,ORENDA CHARTER SCHOOL,12
014901,BELL,014,N,ACADEMY ISD,12
014902,BELL,014,N,BARTLETT ISD,13
014903,BELL,014,N,BELTON ISD,12
014905,BELL,014,N,HOLLAND ISD,12
014906,BELL,014,N,KILLEEN ISD,12
014907,BELL,014,N,ROGERS ISD,12
014908,BELL,014,N,SALADO ISD,12
014909,BELL,014,N,TEMPLE ISD,12
014910,BELL,014,N,TROY ISD,12
015801,BEXAR,015,Y,POR VIDA ACADEMY,20
015802,BEXAR,015,Y,GEORGE GERVIN ACADEMY,20
015805,BEXAR,015,Y,NEW FRONTIERS PUBLIC SCHOOLS INC,20
015806,BEXAR,015,Y,SCHOOL OF EXCELLENCE IN EDUCATION,20
015807,BEXAR,015,Y,SOUTHWEST PREPARATORY SCHOOL,20
015808,BEXAR,015,Y,INSPIRE ACADEMIES,20
015809,BEXAR,015,Y,BEXAR COUNTY ACADEMY,20
015814,BEXAR,015,Y,POSITIVE SOLUTIONS CHARTER SCHOOL,20
015815,BEXAR,015,Y,HERITAGE ACADEMY,20
015822,BEXAR,015,Y,JUBILEE ACADEMIES,20
