"YEAR","DISTRICT","DISTRICT NAME","CRISIS CODE","CRISIS CODEX","STUDENT COUNT"
2019-20,001902,CAYUGA ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,546
2019-20,001903,ELKHART ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,"1,146"
2019-20,001903,ELKHART ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,-999
2019-20,001903,ELKHART ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,-999
2019-20,001903,ELKHART ISD,7D,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER AND ENGAGED THRU END OF YR,-999
2019-20,001903,ELKHART ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,-999
2019-20,001903,ELKHART ISD,7F,CONTACT BUT NOT ENGAGED BEFORE 5/1; NO CONTACT 5/1 OR AFTER,-999
2019-20,001903,ELKHART ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,-999
2019-20,001904,FRANKSTON ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,740
2019-20,001904,FRANKSTON ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,-999
2019-20,001904,FRANKSTON ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,-999
2019-20,001904,FRANKSTON ISD,7D,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER AND ENGAGED THRU END OF YR,-999
2019-20,001904,FRANKSTON ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,21
2019-20,001904,FRANKSTON ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,-999
2019-20,001904,FRANKSTON ISD,7H,ENGAGED BEFORE 5/1; NO CONTACT 5/1 THRU END OF YR,-999
2019-20,001904,FRANKSTON ISD,7I,ENGAGED BEFORE 5/1; NOT ENGAGED 5/1 THRU END OF YR,12
2019-20,001906,NECHES ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,-999
2019-20,001906,NECHES ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,-999
2019-20,001907,PALESTINE ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,"3,030"
2019-20,001907,PALESTINE ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,54
2019-20,001907,PALESTINE ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,28
2019-20,001907,PALESTINE ISD,7D,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER AND ENGAGED THRU END OF YR,40
2019-20,001907,PALESTINE ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,81
2019-20,001907,PALESTINE ISD,7F,CONTACT BUT NOT ENGAGED BEFORE 5/1; NO CONTACT 5/1 OR AFTER,12
